time,reference,observation
0.0,1,0.0
0.04,1,0.08036240544002983
0.08,1,0.15296627066422952
0.12,1,0.21805126414743872
0.16,1,0.2759163889118313
0.2,1,0.32697091387327376
0.24,1,0.37176230349102807
0.28,1,0.4109784461963496
0.32,1,0.44542468952137915
0.36,1,0.4759793408877887
0.4,1,0.5035339827956957
0.44,1,0.5289268340504579
0.48,1,0.5528782225762894
0.52,1,0.5759369127458839
0.56,1,0.598444591796602
0.6,1,0.6205234496999612
0.64,1,0.6420887882152688
0.68,1,0.6628853518183659
0.72,1,0.6825430011561722
0.76,1,0.7006448421546262
0.8,1,0.7167993020782151
0.84,1,0.7307071153586605
0.88,1,0.7422148143866025
0.92,1,0.7513480323966215
0.96,1,0.7583204973916526
1.0,1,0.7635176978445908
1.04,1,0.7674574348511389
1.08,1,0.7707324267315312
1.12,1,0.7739424222797125
1.16,1,0.7776246142001696
1.2,1,0.7821913534489423
1.24,1,0.787883221292619
1.28,1,0.7947435398451695
1.32,1,0.8026176469020563
1.36,1,0.8111770801949144
1.4,1,0.8199656174604606
1.44,1,0.82846131199476
1.48,1,0.836146608436952
1.52,1,0.8425775838035818
1.56,1,0.8474434675333211
1.6,1,0.8506088375236865
1.64,1,0.8521331074237408
1.68,1,0.8522648293614336
1.72,1,0.8514115628625434
1.76,1,0.8500891912676587
1.8,1,0.8488572000957813
1.84,1,0.8482482299324421
1.88,1,0.8487009489871056
1.92,1,0.8505048635331676
1.96,1,0.8537641527347972
2.0,1,0.8583851742399001
2.04,1,0.8640892512053082
2.08,1,0.8704491093059845
2.12,1,0.8769442994146202
2.16,1,0.8830285068454908
2.2,1,0.8882001234848903
2.24,1,0.8920670402326473
2.28,1,0.8943973576541902
2.32,1,0.8951495176510881
2.36,1,0.8944779968941137
2.4,1,0.8927138355218623
2.44,1,0.8903225005460792
2.48,1,0.8878444889325837
2.52,1,0.8858262879335642
2.56,1,0.8847505462597576
2.6,1,0.8849744106322024
2.64,1,0.8866839351978363
2.68,1,0.8898704104681225
2.72,1,0.8943316480540296
2.76,1,0.8996980578315539
2.8,1,0.9054801754920416
2.84,1,0.9111315482363063
2.88,1,0.9161189172521766
2.92,1,0.9199907000240429
2.96,1,0.9224349934078825
3.0,1,0.9233196618309253
3.04,1,0.9227093717050178
3.08,1,0.920857388720702
3.12,1,0.9181731901904888
3.16,1,0.9151700452222904
3.2,1,0.9123992837087055
3.24,1,0.9103796816541538
3.28,1,0.9095310164404601
3.32,1,0.9101203109847535
3.36,1,0.9122276589161844
3.4,1,0.9157360124592393
3.44,1,0.9203462425152614
3.48,1,0.9256155403549262
3.52,1,0.9310142377713498
3.56,1,0.9359937611615788
3.6,1,0.9400570075474078
3.64,1,0.9428221200236203
3.68,1,0.9440714863437268
3.72,1,0.9437796788288579
3.76,1,0.9421167536307666
3.8,1,0.9394264864574342
3.84,1,0.9361823351656647
3.88,1,0.9329267751742364
3.92,1,0.9302017853540353
3.96,1,0.9284793966101894
4.0,1,0.9281012073278776
